Ticker,Model,quarter,n_obs,MAE,RMSE
AAPL,Naive,2023Q1,62,0.00118,0.0017
AAPL,RollingMean10,2023Q1,62,0.00325,0.00388
AAPL,LinearRegression,2023Q1,62,0.00132,0.00175
AAPL,RandomForest,2023Q1,62,0.00132,0.00178
AAPL,GradientBoosting,2023Q1,62,0.00132,0.00178
AAPL,Naive,2023Q2,62,0.0007,0.00156
AAPL,RollingMean10,2023Q2,62,0.00181,0.00288
AAPL,LinearRegression,2023Q2,62,0.00118,0.00176
AAPL,RandomForest,2023Q2,62,0.00081,0.00148
AAPL,GradientBoosting,2023Q2,62,0.00099,0.00158
AAPL,Naive,2023Q3,63,0.00101,0.00192
AAPL,RollingMean10,2023Q3,63,0.00254,0.00347
AAPL,LinearRegression,2023Q3,63,0.00138,0.00214
AAPL,RandomForest,2023Q3,63,0.00113,0.00189
AAPL,GradientBoosting,2023Q3,63,0.00117,0.00189
AAPL,Naive,2023Q4,41,0.00093,0.00134
AAPL,RollingMean10,2023Q4,41,0.00225,0.00266
AAPL,LinearRegression,2023Q4,41,0.00094,0.00126
AAPL,RandomForest,2023Q4,41,0.00102,0.00143
AAPL,GradientBoosting,2023Q4,41,0.00119,0.00157
MSFT,Naive,2023Q1,62,0.00126,0.00188
MSFT,RollingMean10,2023Q1,62,0.00305,0.00352
MSFT,LinearRegression,2023Q1,62,0.00142,0.00197
MSFT,RandomForest,2023Q1,62,0.00138,0.00191
MSFT,GradientBoosting,2023Q1,62,0.00163,0.00209
MSFT,Naive,2023Q2,62,0.00124,0.00263
MSFT,RollingMean10,2023Q2,62,0.0042,0.00568
MSFT,LinearRegression,2023Q2,62,0.00135,0.00248
MSFT,RandomForest,2023Q2,62,0.00121,0.00248
MSFT,GradientBoosting,2023Q2,62,0.00129,0.00245
MSFT,Naive,2023Q3,63,0.00113,0.00167
MSFT,RollingMean10,2023Q3,63,0.00302,0.00372
MSFT,LinearRegression,2023Q3,63,0.00127,0.00174
MSFT,RandomForest,2023Q3,63,0.00111,0.0016
MSFT,GradientBoosting,2023Q3,63,0.00132,0.00182
MSFT,Naive,2023Q4,41,0.00112,0.00194
MSFT,RollingMean10,2023Q4,41,0.0032,0.00392
MSFT,LinearRegression,2023Q4,41,0.00114,0.00174
MSFT,RandomForest,2023Q4,41,0.00117,0.00185
MSFT,GradientBoosting,2023Q4,41,0.00133,0.0021
